# Generated by tools/gen-blueprints.py. Do not edit by hand — rerun the tool.
# Recipes, grades, engineers and effects from msarilar/EDEngineer blueprints.json (MIT),
# cross-checked against EDCD/coriolis-data on CoriolisGuid. Coriolis is not the authority:
# eleven experimentals have a different recipe per module type and it models one each, so
# disagreements are printed by the generator rather than resolved here.
# Ingredients are keyed to Materials.tsv symbols and are PER APPLICATION for kind=
# modification — multiply by EngineeringRules.RollsFor for a total. No other kind is
# per application. On-foot quantities (kind=suit, weapon, merchant) are NOT EDEngineer's:
# its figures are pre-patch and are restated here to what the game charges, measured over
# 16 upgrade events and four locker deltas — see docs/spikes/journal-corpus-on-foot.md §3.
# Game data is Frontier's, used under their media usage rules; see NOTICE.
# Rows: 1172 (bartender 4, experimental 154, merchant 56, modification 786, suit 14, synthesis 65, tech-broker 51, unlock 22, weapon 20). Built: 2026-09-01.
kind	module	name	grade	engineers	ingredients	effects	guid	symbol	mtypes
bartender	Unlock	Kit Fowler		Domino Green	push*5,opinionpolls*40				
bartender	Unlock	Oden Geiger		Terra Velasquez	financialprojections*15,geneticsample*20,employeegeneticdata*20,geneticresearch*20				
bartender	Unlock	Wellington Beck		Hero Ferrari	settlementdefenceplans*15,classicentertainment*25,multimediaentertainment*25,catmedia*25				
bartender	Unlock	Yarden Bond		Kit Fowler	surveillanceequipment*5,smearcampaignplans*8				
experimental	Armour	Angled Plating		Liz Ryder,Selene Jean,Petra Olmanova	compactcomposites*5,highdensitycomposites*3,zirconium*3	Hull Boost|-3%|bad;Kinetic Resistance|+8%|good	e8631809-2915-4373-905c-8dcf3bda6921	special_armour_kinetic,special_hullreinforcement_kinetic	cbh
experimental	Armour	Deep Plating		Liz Ryder,Selene Jean,Petra Olmanova	compactcomposites*5,mechanicalequipment*3,molybdenum*2	Hull Boost|+8%|good;Kinetic Resistance|-3%|bad;Thermal Resistance|-3%|bad;Explosive Resistance|-3%|bad	b51706cc-d412-4559-8654-f812d2eb44b9	special_armour_chunky,special_hullreinforcement_chunky	cbh
experimental	Armour	Layered Plating		Liz Ryder,Selene Jean,Petra Olmanova	heatconductionwiring*5,highdensitycomposites*3,niobium*1	Hull Boost|-3%|bad;Explosive Resistance|+8%|good	cdd19fcc-74b4-463a-a8f1-2e9909da664f	special_armour_explosive,special_hullreinforcement_explosive	cbh
experimental	Armour	Reflective Plating		Liz Ryder,Selene Jean,Petra Olmanova	compactcomposites*5,heatdispersionplate*3,thermicalloys*2	Hull Boost|-3%|bad;Thermal Resistance|+8%|good	6c88aa33-01db-4eda-928e-6ca8b9b1bc3d	special_armour_thermic,special_hullreinforcement_thermic	cbh
experimental	Beam Laser	Concordant Sequence		Mel Brandon,The Dweller,Broo Tarquin	focuscrystals*5,embeddedfirmware*3,zirconium*1	Wing shield regeneration increased|✓|good;Thermal Load|+50%|bad	b556c19a-e756-45b1-846f-9ddc61af18a9	special_concordant_sequence	hel
experimental	Beam Laser	Double Braced		Mel Brandon,The Dweller,Broo Tarquin	mechanicalscrap*5,compactcomposites*5,vanadium*3	Integrity|+15%|good	32cb80c0-bb11-49ea-ae21-4c94eb5f9195	special_shield_toughened,special_shieldbooster_toughened,special_weapon_toughened	hel
