# Generated by tools/gen-exobiology.py. Do not edit by hand — rerun the tool.
# Source: spansh.co.uk api/bodies/search, 2026-09-13. Species and
# values from surveyed landmarks whose value is above zero; up to 500 surveyed bodies sampled per
# species for the condition ranges. Game data is Frontier's, used under their media usage rules;
# see NOTICE. Categorical columns keep a value seen on at least 2% of the sampled bodies; numeric
# ranges are the 1st-99th percentile. Atmosphere, planet type and volcanism are normalised — see
# normalise_planet_type, normalise_atmosphere and normalise_volcanism in this file, mirrored in
# ExobiologyCatalogue's private NormalisePlanetType, NormaliseAtmosphere and NormaliseVolcanism,
# which apply the same fold to a live journal Scan.
species	genus	value	bodies_sampled	planet_types	atmospheres	volcanism	gravity_low	gravity_high	temperature_low	temperature_high	pressure_low	pressure_high	regions
Albidum Sinuous Tubers	Tubers	1514500	201	highmetalcontentbody;rockybody	none	majorrockymagma;majorsilicatevapourgeysers;minorrockymagma;none	0.0460	2.4362	203.5	497.6	0.000000	0.000552	Arcadian Stream;Empyrean Straits;Galactic Centre;Inner Scutum-Centaurus Arm;Norma Arm;Norma Expanse;Odin's Hold;Ryker's Hope;Trojan Belt
Aleoida Arcus	Aleoida	7252500	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0539	0.2204	175.0	179.9	0.016923	0.091493	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Aleoida Coronamus	Aleoida	6284600	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0528	0.2362	180.0	189.9	0.027170	0.097350	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Aleoida Gravis	Aleoida	12934900	500	highmetalcontentbody;rockybody	carbondioxide	none	0.0464	0.2655	190.1	195.4	0.057761	0.098284	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Aleoida Laminiae	Aleoida	3385200	500	highmetalcontentbody;rockybody	ammonia	none	0.0482	0.2697	152.7	175.6	0.000998	0.010019	Acheron;Dryman's Point;Elysian Shore;Galactic Centre;Hawking's Gap;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Mare Somnia;Odin's Hold;Orion-Cygnus Arm;Outer Orion Spur;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss
Aleoida Spica	Aleoida	3385200	500	highmetalcontentbody;rockybody	ammonia	none	0.0450	0.2712	170.0	175.2	0.001004	0.009998	Achilles's Altar;Aquila's Halo;Arcadian Stream;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Scutum-Centaurus Arm;Kepler's Crest;Lyra's Song;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Outer Arm;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sanguineous Rim;Tenebrae;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Amphora Plant	Amphora Plant	1628800	500	metalrichbody	none	majormetallicmagma;majorrockymagma;majorsilicatevapourgeysers	0.0641	3.3564	1002.9	1692.1	0.000000	0.000000	Dryman's Point;Hawking's Gap;Inner Orion Spur;Inner Scutum-Centaurus Arm;Mare Somnia;Norma Expanse;Outer Orion Spur;Sagittarius-Carina Arm
Aureum Brain Tree	Brain Tree	1593700	325	highmetalcontentbody;rockybody	none;sulfurdioxide	majorrockymagma;majorsilicatevapourgeysers;metallicmagma;minormetallicmagma;minorsilicatevapourgeysers;rockymagma	0.0464	2.3522	305.9	496.2	0.000000	0.016798	Empyrean Straits;Inner Orion Spur;Inner Scutum-Centaurus Arm;Norma Expanse;Outer Orion Spur;Temple
Bacterium Acies	Bacterium	1000000	500	icybody	neon	minormethanemagma;minornitrogenmagma;none	0.3095	0.5700	20.0	58.6	0.001002	0.004672	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Mare Somnia;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion Spur;Outer Orion-Perseus Conflux;Outer Scutum-Centaurus Arm;Perseus Arm;Ryker's Hope;Sagittarius-Carina Arm;Sanguineous Rim;Temple;The Abyss;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate;Xibalba
Bacterium Alcyoneum	Bacterium	1658500	500	highmetalcontentbody;rockybody	ammonia	none	0.0482	0.3464	154.7	174.9	0.001000	0.007799	Acheron;Achilles's Altar;Aquila's Halo;Arcadian Stream;Dryman's Point;Elysian Shore;Empyrean Straits;Errant Marches;Formorian Frontier;Galactic Centre;Hawking's Gap;Hieronymus Delta;Inner Orion Spur;Inner Orion-Perseus Conflux;Inner Scutum-Centaurus Arm;Izanami;Kepler's Crest;Lyra's Song;Newton's Vault;Norma Arm;Norma Expanse;Odin's Hold;Orion-Cygnus Arm;Outer Arm;Outer Orion-Perseus Conflux;Perseus Arm;Ryker's Hope;Sanguineous Rim;Temple;Tenebrae;The Conduit;The Formidine Rift;The Veils;The Void;Trojan Belt;Vulcan Gate
