# Generated by tools/gen-onfoot.py. Do not edit by hand — rerun the tool.
# Suit, hand weapon and hand tool identity from EDDiscovery/EliteDangerousCore
# Items/Suits.cs and Items/HandItems.cs (Apache-2.0), keyed on the symbol the journal
# writes. No stat is taken from there: its per-figure provenance varies, one row is
# annotated as a guess, and SuitStats assigns health multipliers to the shield fields.
# Prices are grade 1 and were read off BuySuit/BuyWeapon in a journal corpus; blank
# means not measured rather than free. The suitmod/weaponmod rows are a spelling
# reconciliation, not game data: nothing published carries both the journal's symbol
# and the recipe's name. seen=corpus means observed in a real journal (13 of
# 25); seen=derived means it follows the convention and has not been.
# A modification's detail is what it does, from jixxed/ed-odyssey-materials-helper
# description.csv (MIT), with the overrides named in the generator.
# Game data is Frontier's, used under their media usage rules; see NOTICE.
# Rows: 57 (suits 16, weapons 11, tools 5, modifications 25). Built: 2026-09-24.
kind	symbol	name	grade	detail	price	seen
suit	explorationsuit_class1	Artemis Suit	1	1+1 weapons, Genetic Sampler	150000	
suit	explorationsuit_class2	Artemis Suit	2	1+1 weapons, Genetic Sampler		
suit	explorationsuit_class3	Artemis Suit	3	1+1 weapons, Genetic Sampler		
suit	explorationsuit_class4	Artemis Suit	4	1+1 weapons, Genetic Sampler		
suit	explorationsuit_class5	Artemis Suit	5	1+1 weapons, Genetic Sampler		
suit	flightsuit	Flight Suit		0+1 weapons	0	
suit	tacticalsuit_class1	Dominator Suit	1	2+1 weapons	150000	
suit	tacticalsuit_class2	Dominator Suit	2	2+1 weapons		
suit	tacticalsuit_class3	Dominator Suit	3	2+1 weapons		
suit	tacticalsuit_class4	Dominator Suit	4	2+1 weapons		
suit	tacticalsuit_class5	Dominator Suit	5	2+1 weapons		
suit	utilitysuit_class1	Maverick Suit	1	1+1 weapons, Arc Cutter	150000	
suit	utilitysuit_class2	Maverick Suit	2	1+1 weapons, Arc Cutter		
suit	utilitysuit_class3	Maverick Suit	3	1+1 weapons, Arc Cutter		
suit	utilitysuit_class4	Maverick Suit	4	1+1 weapons, Arc Cutter		
suit	utilitysuit_class5	Maverick Suit	5	1+1 weapons, Arc Cutter		
suitmod	suit_adsmovementspeed	Combat Movement Speed		Removes the movement penalty while aiming down sights or carrying weapons heavier than a pistol		derived
suitmod	suit_backpackcapacity	Extra backpack capacity		Grants increased inventory capacity		derived
suitmod	suit_improvedarmourrating	Damage resistance		Increases protection against certain damage types. The higher your resistance is, the lower the damage reduction will be.		corpus
suitmod	suit_improvedjumpassist	Improved jump assist		Increases thrust duration and recharge rate while reducing energy consumption		corpus
suitmod	suit_improvedradar	Enhanced tracking		Increases range and speed of the suit’s basic scan function		derived
suitmod	suit_increasedammoreserves	Extra ammo capacity		Allows more ammo to be carried for each weapon		corpus
suitmod	suit_increasedbatterycapacity	Improved battery capacity		Increases energy capacity of the suit battery		corpus
suitmod	suit_increasedmeleedamage	Added melee damage		Improves the damage dealt by fists and weapon strikes		derived
suitmod	suit_increasedo2capacity	Increased air reserves		Extends life support operation time once suit energy is depleted		derived
suitmod	suit_increasedshieldregen	Faster shield regen		Speeds up personal shield regeneration rate		corpus
suitmod	suit_increasedsprintduration	Increased sprint duration		Optimises suit articulation, resulting in increased sprint capability		corpus
