# Generated by tools/gen-rares.py. Do not edit by hand — rerun the tool.
# Identity and market id from EDCD/FDevIDs rare_commodity.csv, the same file
# gen-materials.py reads for the rare-cargo ledger. Each market id is resolved
# to its system and station through EDSM's stations/market API at generation
# time, so answering where a rare is sold costs no network at runtime. No
# allocation column: the per-visit quantity is set live by the station's
# economic state and is read from the market index at answer time. Game data
# is Frontier's, used under their media usage rules — see NOTICE.
# Rows: 142. Built: 2026-09-10.
symbol	name	system	station	market_id
advert1	Ultra-Compact Processor Prototypes	17 Lyrae	Langford Enterprise	3227172352
aerialedenapple	Eden Apples of Aerial	Aerial	Andrade Legacy	128083448
aganipperush	Aganippe Rush	Aganippe	Julian Market	128012800
alacarakmoskinart	Alacarakmo Skin Art	Alacarakmo	Weyl Gateway	3231373824
albinoquechuamammoth	Albino Quechua Mammoth Meat	Quechua	Crown Ring	3222822912
alieneggs	Leathery Eggs	Zaonce	Ridley Scott	128164088
altairianskin	Altairian Skin	Altair	Solo Orbiter	128151032
alyabodilysoap	Alya Body Soap	Alya	Malaspina Gateway	3221638400
anduligafireworks	Anduliga Fire Works	Anduliga	Celsius Estate	3230243584
animaleffigies	Crom Silver Fesh	Crom	Chorel Survey	3228463360
anynacoffee	Any Na Coffee	Any Na	Libby Orbital	3229880064
apavietii	Apa Vietii	Upaniklis	Forester's Choice	128958681
aroucaconventualsweets	Arouca Conventual Sweets	Arouca	Shipton Orbital	128098040
azcancriformula42	AZ Cancri Formula 42	AZ Cancri	Fisher Station	3228400128
bakedgreebles	Baked Greebles	38 Virginis	Bamford Ring	3229378560
baltahsinevacuumkrill	Baltah'sine Vacuum Krill	Baltah'Sine	Baltha'Sine Station	128088056
bankiamphibiousleather	Banki Amphibious Leather	Banki	Antonio de Andrade Vista	3228346112
bastsnakegin	Bast Snake Gin	Bast	Hart Station	128086776
belalansrayleather	Belalans Ray Leather	Belalans	Boscovich Ring	3223537152
bluemilk	Azure Milk	Leesti	George Lucas	128639992
borasetanipathogenetics	Borasetani Pathogenetics	Borasetani	Katzenstein Terminal	3229638400
buckyballbeermats	Buckyball Beer Mats	Fullerene C60	Rebuy Prospect	128745551
burnhambiledistillate	Burnham Bile Distillate	HIP 59533	Burnham Beacon	3230224384
cd75catcoffee	CD-75 Kitten Brand Coffee	CD-75 661	Kirk Dock	3228566016
centaurimegagin	Centauri Mega Gin	Alpha Centauri	Hutton Orbital	3228728832
ceremonialheiketea	Ceremonial Heike Tea	Heike	Brunel City	3227417856
cetiaepyornisegg	Aepyornis Egg	47 Ceti	Glushko Station	3222560256
cetirabbits	Ceti Rabbits	47 Ceti	Kaufmanis Hub	3222560000
chameleoncloth	Chameleon Cloth	LDS 883	Smith Reserve	3223418880
chateaudeaegaeon	Chateau De Aegaeon	Aegaeon	Schweickart Station	3228416768
cherbonesbloodcrystals	Cherbones Blood Crystals	Cherbones	Chalker Landing	3229594624
chieridanimarinepaste	Chi Eridani Marine Paste	Chi Eridani	Steve Masters	128128760
classifiedexperimentalequipment	Classified Experimental Equipment	HIP 22460	Heart of Taurus	128986325
coquimspongiformvictuals	Coquim Spongiform Victuals	Coquim	Hirayama Installation	3223832576
crystallinespheres	Crystalline Spheres	Bento	Snow Moon	128059402
damnacarapaces	Damna Carapaces	Damna	Nemere Market	3227751936
deltaphoenicispalms	Delta Phoenicis Palms	Delta Phoenicis	Trading Post	128045312
deuringastruffles	Deuringas Truffles	Deuringas	Shukor Hub	3229713408
disomacorn	Diso Ma Corn	Diso	Shifnalport	128161016
duradrives	Duradrives	Anima	Cowper Dock	3223453184
eleuthermals	Eleu Thermals	Eleu	Finney Dock	3230624768
eraninpearlwhisky	Eranin Pearl Whisky	Eranin	Azeban City	128001536
eshuumbrellas	Eshu Umbrellas	Eshu	Shajn Terminal	3222295552
esusekucaviar	Esuseku Caviar	Esuseku	Savinykh Orbital	3226919680
ethgrezeteabuds	Ethgreze Tea Buds	Ethgreze	Bloch Station	3229524992
fujintea	Fujin Tea	Fujin	Futen Spaceport	128134392
galactictravelguide	Galactic Travel Guide	LHS 3447	Bluford Orbital	128673074
geawendancedust	Geawen Dance Dust	Geawen	Obruchev Legacy	3230954752
gerasiangueuzebeer	Gerasian Gueuze Beer	Geras	Yurchikhin Port	3228047360
giantirukamasnails	Giant Irukama Snails	Irukama	Blaauw City	3225345792
giantverrix	Giant Verrix	Phiagre	Greeboski's Outpost	128121336
gilyasignatureweapons	Gilya Signature Weapons	Gilya	Bell Orbital	3226857216
gomanyauponcoffee	Goman Yaupon Coffee	Goman	Gustav Sporer Port	3224449792
haidneblackbrew	Haiden Black Brew	Haiden	Searfoss Enterprise	3226557696
harmasilversearum	Harma Silver Sea Rum	Harma	Gabriel Enterprise	3221575424
havasupaidreamcatcher	Havasupai Dream Catcher	Havasupai	Lovelace Port	3221438976
helvetitjpearls	Helvetitj Pearls	Helvetitj	Friend Orbital	3231094528
hip10175bushmeat	HIP 10175 Bush Meat	HIP 10175	Stefanyshyn-Piper Station	3223234816
hip118311swarm	HIP 118311 Swarm	HIP 118311	Lubbock Market	3223177472
hip41181squid	HIP Proto-Squid	HIP 41181	Andersson Station	3227995392
hiporganophosphates	HIP Organophosphates	HIP 80364	Stasheff Colony	3227036160
holvaduellingblades	Holva Duelling Blades	Holva	Kreutz Orbital	3222713088
honestypills	Honesty Pills	LP 375-25	King Gateway	3229561344
hr7221wheat	HR 7221 Wheat	HR 7221	Veron City	3226170880
indibourbon	Indi Bourbon	Epsilon Indi	Mansfield Orbiter	128118520
jaquesquinentianstill	Jaques Quinentian Still	Colonia	Jaques Station	128667761
jaradharrepuzzlebox	Jaradharre Puzzle Box	Jaradharre	Gohar Station	3230754816
jarouarice	Jaroua Rice	Jaroua	McCool City	3224698112
jotunmookah	Jotun Mookah	Jotun	Icelock	128078840
kachiriginleaches	Kachirigin Filter Leeches	Kachirigin	Nowak Orbital	3221595648
kamitracigars	Kamitra Cigars	Kamitra	Hammel Terminal	3225450752
kamorinhistoricweapons	Kamorin Historic Weapons	Kamorin	Godwin Vision	3221669632
karetiicouture	Karetii Couture	Karetii	Sinclair Platform	3227333120
karsukilocusts	Karsuki Locusts	Karsuki Ti	West Market	3225028096
kinagoinstruments	Kinago Violins	Kinago	Fozard Ring	3227394304
konggaale	Kongga Ale	Kongga	Laplace Ring	3226978048
korrokungpellets	Koro Kung Pellets	Korro Kung	Lonchakov Orbital	3228726272
lavianbrandy	Lavian Brandy	Lave	Lave Station	128106744
leestianeviljuice	Leestian Evil Juice	Leesti	George Lucas	128639992
lftvoidextractcoffee	Void Extract Coffee	LFT 1421	Ehrlich Orbital	3229028864
livehecateseaworms	Live Hecate Sea Worms	Hecate	RJH1972	128042496
ltthypersweet	LTT Hyper Sweet	LTT 9360	Smeaton Orbital	3224166400
lyraeweed	Lyrae Weed	16 Lyrae	Budrys Ring	3226417152
masterchefs	Master Chefs	Viracocha	Pataarcy Corporate	128123640
mechucoshightea	Mechucos High Tea	Mechucos	Brandenstein Port	3228398848
medbstarlube	Medb Starlube	Medb	Vela Dock	3228762368
mokojingbeastfeast	Mokojing Beast Feast	Mokojing	Noli Terminal	3229612800
momusbogspaniel	Momus Bog Spaniel	Momus Reach	Tartarus Point	128075256
motronaexperiencejelly	Motrona Experience Jelly	Dea Motrona	Pinzon Dock	3229750528
mukusubiichitinos	Mukusubii Chitin-os	Mukusubii	Ledyard Dock	3221719296
mulachigiantfungus	Mulachi Giant Fungus	Mulachi	Clark Terminal	3228892672
nanomedicines	Nanomedicines	Kuma	Elion Dock	3226651904
neritusberries	Neritus Berries	Neritus	Toll Ring	3228206080
ngadandarifireopals	Ngadandari Fire Opals	Ngadandari	Napier Terminal	3226127872
ngunamodernantiques	Nguna Modern Antiques	Nguna	Biggle Hub	3221538304
njangarisaddles	Njangari Saddles	Njangari	Lee Hub	3222416896
noneuclidianexotanks	Non Euclidian Exotanks	LTT 8517	Euclid Terminal	3224135424
ochoengchillies	Ochoeng Chillies	Ochoeng	Roddenberry Gateway	3226719232
onionhead	Onionhead	Kappa Fornacis	Harvestport	128129272
onionheada	Onionhead Alpha Strain	Xelabara	Navigator Market	3226977024
onionheadb	Onionhead Beta Strain	HIP 112974	la Cosa City	3223027200
ophiuchiexinoartefacts	Ophiuch Exino Artefacts	36 Ophiuchi	Katzenstein Dock	3228939264
orrerianviciousbrew	Orrerian Vicious Brew	Orrere	Sharon Lee Free Market	128166392
pantaaprayersticks	Pantaa Prayer Sticks	George Pantazis	Zamka Platform	3228824064
pavoniseargrubs	Pavonis Ear Grubs	Delta Pavonis	Hooper Relay	128117240
personalgifts	Festive Gifts	Njambalba	Frost Dock	3223105792
platinumaloy	Platinum Alloy	Nahuatl	Artzybasheff Terminal	3223779840
rajukrustoves	Rajukru Multi-Stoves	Rajukru	Snyder Terminal	3227512320
rapabaosnakeskins	Rapa Bao Snake Skins	Rapa Bao	Flagg Gateway	3222875648
rusanioldsmokey	Rusani Old Smokey	Rusani	Fernandes Market	3229255680
sanumameat	Sanuma Decorative Meat	Sanuma	Dunyach Gateway	3230331136
saxonwine	Saxon Wine	9 Aurigae	Hunt Enterprise	3227986432
shanscharisorchid	Shan's Charis Orchid	Arque	Baird Gateway	128107768
soontillrelics	Soontill Relics	Ngurii	Cheranovsky City	3225348096
sothiscrystallinegold	Sothis Crystalline Gold	Sothis	Newholm Station	128668557
tanmarktranquiltea	Tanmark Tranquil Tea	Tanmark	Cassie-L-Peia	128057866
tarachtorspice	Tarach Spice	Tarach Tor	Tranquillity	128041984
taurichimes	Tauri Chimes	39 Tauri	Porta	128134648
terramaterbloodbores	Terra Mater Blood Bores	Terra Mater	GR8Minds	128051466
thehuttonmug	The Hutton Mug	Alpha Centauri	Hutton Orbital	3228728832
thrutiscream	Thrutis Cream	Thrutis	Kingsbury Dock	3226522368
tiegfriessynthsilk	Tiegfries Synth Silk	Tiegfries	Larbalestier Dock	3227726848
tiolcewaste2pasteunits	Tiolce Waste2Paste Units	Tiolce	Gordon Terminal	3224141312
toxandjivirocide	Toxandji Virocide	Toxandji	Tsunenaga Orbital	3230258688
transgeniconionhead	Lucan Onionhead	Tanmark	Cassie-L-Peia	128057866
